epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.1012,1.0631,3.32162,1.45827,0.01081,0.97619,0.32736,0.18325,1.01916,3.97246,1.56336,0.00023324,0.00023324,0.00023324
2,129.853,1.10365,2.94384,1.4418,0.95569,0.18936,0.43772,0.24912,1.05481,3.34057,1.52098,0.000463058,0.000463058,0.000463058
3,223.194,1.15108,2.66139,1.46589,0.8333,0.55344,0.72167,0.39917,1.04508,2.3688,1.58658,0.000680919,0.000680919,0.000680919
4,341.212,1.17226,2.48034,1.4633,0.52966,0.66168,0.63034,0.3606,1.01033,2.46162,1.68452,0.00077115,0.00077115,0.00077115
5,467.922,1.25055,2.41649,1.55259,0.52434,0.65745,0.68263,0.38643,1.15598,3.48198,1.64076,0.000750533,0.000750533,0.000750533
6,576.944,1.2111,2.13827,1.48874,0.59205,0.73717,0.76898,0.499,0.94031,2.60225,1.72055,0.000729916,0.000729916,0.000729916
7,687.603,1.13917,2.18498,1.44471,0.41108,0.81539,0.75564,0.55408,0.8373,2.3811,1.45856,0.000709299,0.000709299,0.000709299
8,759.702,1.0839,1.96274,1.41967,0.62667,0.59014,0.66427,0.51053,0.93607,2.46229,1.43222,0.000688683,0.000688683,0.000688683
9,844.376,1.07577,1.83914,1.37163,0.64119,0.83711,0.84618,0.64027,0.84141,3.90634,1.34418,0.000668066,0.000668066,0.000668066
10,942.165,1.04288,1.81814,1.34479,0.40048,0.7241,0.67539,0.48164,0.91434,2.24969,1.56291,0.000647449,0.000647449,0.000647449
11,1069.02,1.02841,1.73125,1.36056,0.71854,0.80776,0.83582,0.52526,0.95851,2.20327,1.60936,0.000626832,0.000626832,0.000626832
12,1197.49,1.08488,1.71382,1.40236,0.88889,0.75691,0.90136,0.65416,0.99659,1.86316,1.58656,0.000606216,0.000606216,0.000606216
13,1326.09,1.02925,1.68835,1.36333,0.75107,0.75285,0.8957,0.58232,0.99039,1.91866,1.55893,0.000585599,0.000585599,0.000585599
14,1453.61,0.99165,1.55655,1.34938,0.60998,0.85077,0.82174,0.55731,0.92019,1.85822,1.52186,0.000564982,0.000564982,0.000564982
15,1584.57,1.00024,1.58145,1.34544,0.69587,0.67685,0.74992,0.51645,1.01739,1.93389,1.54651,0.000544365,0.000544365,0.000544365
16,1712.64,0.94835,1.51666,1.30456,0.76531,0.85165,0.91482,0.57503,0.89039,1.67503,1.40452,0.000523749,0.000523749,0.000523749
